prompt,answer_token,predicted_top1_token
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Superman es", Lex, General
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Superman es", L, Z
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Superman es",uthor,od
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Batman es", The, The
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Batman es", Joker, Joker
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Wonder Woman es", C, C
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Wonder Woman es",heet,heet
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Wonder Woman es",ah,ah
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Spider-Man es", Green, Mor
"El archienemigo superhéroe de Nova es Annihilus.
El archienemigo superhéroe de Sentry es The Void.
El archienemigo superhéroe de Batwoman es Alice.
El archienemigo superhéroe de Shang-Chi es Wenwu.
El archienemigo superhéroe de Forge es Adversary.
El archienemigo superhéroe de Orion es Darkseid.
El archienemigo superhéroe de Mister Miracle es Granny Goodness.
El archienemigo superhéroe de Eternals es Kro.
El archienemigo superhéroe de Ms. Marvel es Najma.
El archienemigo superhéroe de Moon Knight es Arthur Harrow.
El archienemigo superhéroe de Spider-Man es", Goblin,lun
