prompt,answer_token,predicted_top1_token
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
PIEGA inizia con la lettera", P, P
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
PESANTE inizia con la lettera", P, P
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
BELLA inizia con la lettera", B, B
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
CHIEDI inizia con la lettera", C, C
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
ESPANDERE inizia con la lettera", E, E
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
FRONTE inizia con la lettera", F, F
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
DURO inizia con la lettera", D, D
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
GENTILE inizia con la lettera", G, G
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
VAI inizia con la lettera", V, V
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
CHIRURGIA inizia con la lettera", C, C
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
PASSATO inizia con la lettera", P, P
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
DENTRO inizia con la lettera", D, D
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
ENTRA inizia con la lettera", E, E
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
INIZIARE inizia con la lettera", I, I
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
SVANIRE inizia con la lettera", S, S
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
AUTUNNO inizia con la lettera", A, A
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
PAZZO inizia con la lettera", P, P
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
DIMENTICARE inizia con la lettera", D, D
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
ACCIGLIARSI inizia con la lettera", A, A
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
GRANDE inizia con la lettera", G, G
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
IMPARARE inizia con la lettera", I, I
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
LISCIO inizia con la lettera", L, L
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
AMPIO inizia con la lettera", A, A
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
AEREO inizia con la lettera", A, A
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
SBAGLIATO inizia con la lettera", S, S
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
DANZA inizia con la lettera", D, D
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
VINCERE inizia con la lettera", V, V
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
CREDERE inizia con la lettera", C, C
"VIAGGIO inizia con la lettera V.
ZEBRA inizia con la lettera Z.
MAI inizia con la lettera M.
ECO inizia con la lettera E.
EQUILIBRIO inizia con la lettera E.
NUVOLA inizia con la lettera N.
OCEANO inizia con la lettera O.
CONCERTO inizia con la lettera", C, C
