prompt,answer_token,predicted_top1_token
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bulbasaur si evolve in un/una", Iv, Iv
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bulbasaur si evolve in un/una",ys,ys
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bulbasaur si evolve in un/una",aur,aur
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Charmander si evolve in un/una", Charm, Charm
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Charmander si evolve in un/una",ele,ele
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Charmander si evolve in un/una",on,on
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Squirtle si evolve in un/una", W, W
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Squirtle si evolve in un/una",art,art
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Squirtle si evolve in un/una",ort,ort
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Squirtle si evolve in un/una",le,le
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pikachu si evolve in un/una", Ra, Ra
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pikachu si evolve in un/una",ich,ich
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pikachu si evolve in un/una",u,u
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Oddish si evolve in un/una", G, G
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Oddish si evolve in un/una",loom,loom
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Venonat si evolve in un/una", Venom, Venom
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Venonat si evolve in un/una",oth,oth
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Diglett si evolve in un/una", D, D
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Diglett si evolve in un/una",ug,ug
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Diglett si evolve in un/una",tr,tr
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Diglett si evolve in un/una",io,io
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Meowth si evolve in un/una", Persian, Persian
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Psyduck si evolve in un/una", Gold, Gold
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Psyduck si evolve in un/una",uck,uck
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Mankey si evolve in un/una", Prime, Prime
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Mankey si evolve in un/una",ape,ape
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Growlithe si evolve in un/una", Arc, Arc
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Growlithe si evolve in un/una",anine,anine
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Poliwag si evolve in un/una", Pol, Pol
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Poliwag si evolve in un/una",i,i
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Poliwag si evolve in un/una",wh,wh
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Poliwag si evolve in un/una",irl,irl
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Abra si evolve in un/una", Kad, Kad
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Abra si evolve in un/una",abra,abra
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Machop si evolve in un/una", Mach, Mach
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Machop si evolve in un/una",oke,oke
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Caterpie si evolve in un/una", Met, Met
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Caterpie si evolve in un/una",ap,ap
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Caterpie si evolve in un/una",od,od
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Weedle si evolve in un/una", Kak, Kak
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Weedle si evolve in un/una",una,una
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pidgey si evolve in un/una", P, P
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pidgey si evolve in un/una",idge,idge
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Pidgey si evolve in un/una",otto,otto
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Rattata si evolve in un/una", R, R
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Rattata si evolve in un/una",atic,atic
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Rattata si evolve in un/una",ate,ate
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Spearow si evolve in un/una", Fear, Fear
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Spearow si evolve in un/una",ow,ow
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Ekans si evolve in un/una", Arb, Arb
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Ekans si evolve in un/una",ok,ok
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Sandshrew si evolve in un/una", Sands, Sands
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Sandshrew si evolve in un/una",lash,lash
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♀ si evolve in un/una", N, N
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♀ si evolve in un/una",idor,idor
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♀ si evolve in un/una",ina,ina
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♂ si evolve in un/una", N, N
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♂ si evolve in un/una",idor,idor
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Nidoran♂ si evolve in un/una",ino,ino
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Zubat si evolve in un/una", Gol, Gol
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Zubat si evolve in un/una",bat,bat
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bellsprout si evolve in un/una", We, We
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bellsprout si evolve in un/una",ep,ep
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bellsprout si evolve in un/una",in,in
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Bellsprout si evolve in un/una",bell,bell
"Eevee si evolve in un/una Vaporeon.
Eevee si evolve in un/una Jolteon.
Eevee si evolve in un/una Flareon.
Tyrogue si evolve in un/una Hitmonlee.
Tyrogue si evolve in un/una Hitmonchan.
Tentacool si evolve in un/una", Tent, Tent
