prompt,answer_token,predicted_top1_token
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di grande è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di grande è", grande, grande
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di piccolo è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di piccolo è", pic, pic
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di piccolo è",colo,colo
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di alto è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di alto è", alto, alto
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di corto è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di corto è", cort, cort
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di corto è",o,o
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lungo è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lungo è", lung, lung
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lungo è",o,o
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di veloce è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di veloce è", vel, vel
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di veloce è",oce,oce
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lento è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lento è", l, l
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di lento è",ento,ento
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di forte è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di forte è", forte, forte
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di debole è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di debole è", de, de
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di debole è",bole,bole
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di pesante è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di pesante è", pes, pes
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di pesante è",ante,ante
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di leggero è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di leggero è", leg, leg
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di leggero è",ger,ger
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di leggero è",o,o
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di vecchio è", più, più
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di vecchio è", vec, vec
"La forma comparativa di divertente è più divertente.
La forma comparativa di efficiente è più efficiente.
La forma comparativa di amichevole è più amichevole.
La forma comparativa di popolare è più popolare.
La forma comparativa di pigro è più pigro.
La forma comparativa di vecchio è",chio,chio
