prompt,answer_token,predicted_top1_token
ภาษาราชการใน สหรัฐอเมริกา คือ, ภาษ,ภาษ
ภาษาราชการใน สหรัฐอเมริกา คือ,าอ,าอ
ภาษาราชการใน สหรัฐอเมริกา คือ,ังกฤษ,ังกฤษ
ภาษาราชการใน ประเทศแคนาดา คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศแคนาดา คือ,าอ,า
ภาษาราชการใน ประเทศแคนาดา คือ,ังกฤษ,แ
ภาษาราชการใน ประเทศเม็กซิโก คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศเม็กซิโก คือ,าส,าส
ภาษาราชการใน ประเทศเม็กซิโก คือ,เป,เป
ภาษาราชการใน ประเทศเม็กซิโก คือ,น,น
ภาษาราชการใน ประเทศบราซิล คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศบราซิล คือ,า,า
ภาษาราชการใน ประเทศบราซิล คือ,โปร,โปร
ภาษาราชการใน ประเทศบราซิล คือ,ต,ต
ภาษาราชการใน ประเทศบราซิล คือ,ุ,ุ
ภาษาราชการใน ประเทศบราซิล คือ,เก,เก
ภาษาราชการใน ประเทศบราซิล คือ,ส,ส
ภาษาราชการใน ประเทศอาร์เจนตินา คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศอาร์เจนตินา คือ,าส,า
ภาษาราชการใน ประเทศอาร์เจนตินา คือ,เป, ส
ภาษาราชการใน ประเทศอาร์เจนตินา คือ,น,เป
ภาษาราชการใน ประเทศชิลี คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศชิลี คือ,าส,าส
ภาษาราชการใน ประเทศชิลี คือ,เป,เป
ภาษาราชการใน ประเทศชิลี คือ,น,น
ภาษาราชการใน ประเทศเปรู คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศเปรู คือ,าส,าส
ภาษาราชการใน ประเทศเปรู คือ,เป,เป
ภาษาราชการใน ประเทศเปรู คือ,น,น
ภาษาราชการใน ประเทศโคลอมเบีย คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศโคลอมเบีย คือ,าส,าส
ภาษาราชการใน ประเทศโคลอมเบีย คือ,เป,เป
ภาษาราชการใน ประเทศโคลอมเบีย คือ,น,น
ภาษาราชการใน ประเทศเวเนซุเอลา คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศเวเนซุเอลา คือ,าส,า
ภาษาราชการใน ประเทศเวเนซุเอลา คือ,เป,โปร
ภาษาราชการใน ประเทศเวเนซุเอลา คือ,น,ต
ภาษาราชการใน ประเทศสเปน คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศสเปน คือ,าส,าส
ภาษาราชการใน ประเทศสเปน คือ,เป,เป
ภาษาราชการใน ประเทศสเปน คือ,น,น
ภาษาราชการใน ประเทศฝรั่งเศส คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศฝรั่งเศส คือ,า�,า�
ภาษาราชการใน ประเทศฝรั่งเศส คือ,�,�
ภาษาราชการใน ประเทศฝรั่งเศส คือ,ร,ร
ภาษาราชการใน ประเทศฝรั่งเศส คือ,ั่,ั่
ภาษาราชการใน ประเทศฝรั่งเศส คือ,งเศส,งเศส
ภาษาราชการใน ประเทศเยอรมนี คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศเยอรมนี คือ,า,า
ภาษาราชการใน ประเทศเยอรมนี คือ,เย,เย
ภาษาราชการใน ประเทศเยอรมนี คือ,อร,อร
ภาษาราชการใน ประเทศเยอรมนี คือ,ม,ม
ภาษาราชการใน ประเทศเยอรมนี คือ,ัน,ัน
ภาษาราชการใน ประเทศอิตาลี คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศอิตาลี คือ,าอ,า
ภาษาราชการใน ประเทศอิตาลี คือ,ิต, อ
ภาษาราชการใน ประเทศอิตาลี คือ,าล,ิต
ภาษาราชการใน ประเทศอิตาลี คือ,ี,าล
ภาษาราชการใน ประเทศรัสเซีย คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศรัสเซีย คือ,าร,าร
ภาษาราชการใน ประเทศรัสเซีย คือ,ัส,ัส
ภาษาราชการใน ประเทศรัสเซีย คือ,เซ,เซ
ภาษาราชการใน ประเทศรัสเซีย คือ,ีย,ีย
ภาษาราชการใน จีน คือ, ภาษ, ภาษ
ภาษาราชการใน จีน คือ,าจ,าจ
ภาษาราชการใน จีน คือ,ีน,ีน
ภาษาราชการใน จีน คือ,กลาง,กลาง
ภาษาราชการใน ประเทศญี่ปุ่น คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศญี่ปุ่น คือ,าญ,าญ
ภาษาราชการใน ประเทศญี่ปุ่น คือ,ี่,ี่
ภาษาราชการใน ประเทศญี่ปุ่น คือ,ป,ป
ภาษาราชการใน ประเทศญี่ปุ่น คือ,ุ่,ุ่
ภาษาราชการใน ประเทศญี่ปุ่น คือ,น,น
ภาษาราชการใน ประเทศเกาหลีใต้ คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศเกาหลีใต้ คือ,า,า
ภาษาราชการใน ประเทศเกาหลีใต้ คือ,เก,เก
ภาษาราชการใน ประเทศเกาหลีใต้ คือ,าหล,าหล
ภาษาราชการใน ประเทศเกาหลีใต้ คือ,ี,ี
ภาษาราชการใน ประเทศอินเดีย คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศอินเดีย คือ,า�,า
ภาษาราชการใน ประเทศอินเดีย คือ,�,เบ
ภาษาราชการใน ประเทศอินเดีย คือ,ินด,งก
ภาษาราชการใน ประเทศอินเดีย คือ,ี,อล
ภาษาราชการใน ประเทศปากีสถาน คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศปากีสถาน คือ,าอ,า
ภาษาราชการใน ประเทศปากีสถาน คือ,ูร,เบ
ภาษาราชการใน ประเทศปากีสถาน คือ,ด,งก
ภาษาราชการใน ประเทศปากีสถาน คือ,ู,อล
ภาษาราชการใน ประเทศอียิปต์ คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศอียิปต์ คือ,าอ,าอ
ภาษาราชการใน ประเทศอียิปต์ คือ,า,าร
ภาษาราชการใน ประเทศอียิปต์ คือ,หร,าม
ภาษาราชการใน ประเทศอียิปต์ คือ,ับ,ิ
ภาษาราชการใน ประเทศซาอุดีอาระเบีย คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศซาอุดีอาระเบีย คือ,าอ,าอ
ภาษาราชการใน ประเทศซาอุดีอาระเบีย คือ,า,า
ภาษาราชการใน ประเทศซาอุดีอาระเบีย คือ,หร,หร
ภาษาราชการใน ประเทศซาอุดีอาระเบีย คือ,ับ,ับ
ภาษาราชการใน ประเทศตุรกี คือ, ภาษ, ภาษ
ภาษาราชการใน ประเทศตุรกี คือ,าต,าต
ภาษาราชการใน ประเทศตุรกี คือ,ุรก,ุรก
ภาษาราชการใน ประเทศตุรกี คือ,ี,ี
ภาษาราชการใน ประเทศออสเตรเลีย คือ, ภาษ,ภาษ
ภาษาราชการใน ประเทศออสเตรเลีย คือ,าอ,าอ
ภาษาราชการใน ประเทศออสเตรเลีย คือ,ังกฤษ,ังกฤษ
