prompt,answer_token,predicted_top1_token
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Roberto Clemente pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Hank Aaron pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Jari Kurri pratique le sport de", hockey, hockey
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Zdeno Chára pratique le sport de", hockey, hockey
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Peter Šťastný pratique le sport de", hockey, hockey
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
R.A. Dickey pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Luis Scola pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Luis Scola pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Satchel Paige pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Elton Brand pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Elton Brand pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Mariano Rivera pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Gary Carter pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Igor Larionov pratique le sport de", hockey, hockey
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Dennis Rodman pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Dennis Rodman pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Šarūnas Jasikevičius pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Šarūnas Jasikevičius pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Marián Hossa pratique le sport de", hockey, hockey
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Moe Berg pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Arvydas Sabonis pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Arvydas Sabonis pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Willie Mays pratique le sport de", baseball, baseball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Magic Johnson pratique le sport de", basket, basket
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Magic Johnson pratique le sport de",-ball,-ball
"Kylian Mbappé pratique le sport de football.
Shohei Otani pratique le sport de baseball.
Jayson Tatum pratique le sport de basket-ball.
Luciana Aymar pratique le sport de hockey.
Josh Allen pratique le sport de football américain.
Jamie Dwyer pratique le sport de hockey.
Aaron Judge pratique le sport de baseball.
Novak Djoković pratique le sport de tennis.
Joel Embiid pratique le sport de basket-ball.
Lautaro Martínez pratique le sport de football.
Cy Young pratique le sport de", baseball, baseball
