prompt,answer_token,predicted_top1_token
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of angry is", ang, ang
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of angry is",ri,ri
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of angry is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of bad is", worst, worst
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of big is", biggest, biggest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of brave is", brav, brav
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of brave is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of bright is", brightest, brightest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of calm is", calm, calm
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of calm is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cheap is", cheapest, cheapest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of clean is", clean, clean
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of clean is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cold is", col, col
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cold is",dest,dest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of crazy is", cra, cra
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of crazy is",zi,zi
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of crazy is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cruel is", cr, cr
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cruel is",ue,ue
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of cruel is",lest,lest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dark is", darkest, darkest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of deep is", deepest, deepest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dirty is", dirt, dirt
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dirty is",iest,iest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dry is", dri, dri
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dry is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dull is", d, d
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dull is",ulle,ulle
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of dull is",st,st
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of easy is", easiest, easiest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of fast is", fastest, fastest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of fierce is", fier, fier
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of fierce is",cest,cest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of fresh is", fres, fres
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of fresh is",hest,hest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of friendly is", friend, friend
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of friendly is",liest,liest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of full is", fullest, fullest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of funny is", fun, fun
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of funny is",niest,niest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of gentle is", gentle, gentle
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of gentle is",st,st
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of good is", best, best
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of great is", greatest, greatest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of happy is", happiest, happiest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of hard is", hardest, hardest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of healthy is", health, health
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of healthy is",iest,iest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of heavy is", he, he
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of heavy is",aviest,aviest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of high is", highest, highest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of hot is", hottest, hottest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of hungry is", hung, hung
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of hungry is",ri,ri
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of hungry is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of kind is", kin, kin
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of kind is",dest,dest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of large is", largest, largest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of lazy is", la, la
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of lazy is",zi,zi
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of lazy is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of light is", light, light
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of light is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of little is", smallest, smallest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of long is", longest, longest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of loud is", lou, lou
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of loud is",dest,dest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of low is", lowest, lowest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of mad is", mad, mad
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of mad is",dest,dest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of mean is", mean, mean
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of mean is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of messy is", mess, mess
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of messy is",iest,iest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of narrow is", narrow, narrow
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of narrow is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of near is", nearest, nearest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of new is", newest, newest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of old is", oldest, oldest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of polite is", polit, polit
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of polite is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of poor is", poorest, poorest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of quick is", quickest, quickest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of quiet is", quiet, quiet
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of quiet is",est,est
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of rich is", richest, richest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of sad is", sad, sad
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of sad is",dest,dest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of safe is", safest, safest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of short is", shortest, shortest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of shy is", shy, sh
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of shy is",est,iest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of simple is", simplest, simplest
"The superlative form of ancient is ancientest.
The superlative form of efficient is most efficient.
The superlative form of bizarre is bizarrest.
The superlative form of popular is most popular.
The superlative form of clever is cleverest.
The superlative form of slow is", slow, slow
