prompt,answer_token,predicted_top1_token
John Adams fue elegido(a) en, , el
John Adams fue elegido(a) en,179, año
John Adams fue elegido(a) en,6, 
Thomas Jefferson fue elegido(a) en, , las
Thomas Jefferson fue elegido(a) en,180, ele
Thomas Jefferson fue elegido(a) en,0,cciones
James Madison fue elegido(a) en, , el
James Madison fue elegido(a) en,180, año
James Madison fue elegido(a) en,8, 
James Monroe fue elegido(a) en, , 
James Monroe fue elegido(a) en,181,182
James Monroe fue elegido(a) en,6,4
John Quincy Adams fue elegido(a) en, , el
John Quincy Adams fue elegido(a) en,182, año
John Quincy Adams fue elegido(a) en,4, 
Andrew Jackson fue elegido(a) en, , 
Andrew Jackson fue elegido(a) en,182,182
Andrew Jackson fue elegido(a) en,8,8
Martin Van Buren fue elegido(a) en, , 
Martin Van Buren fue elegido(a) en,183,183
Martin Van Buren fue elegido(a) en,6,6
William Henry Harrison fue elegido(a) en, , 
William Henry Harrison fue elegido(a) en,184,184
William Henry Harrison fue elegido(a) en,0,1
Richard M. Nixon fue elegido(a) en, , 
Richard M. Nixon fue elegido(a) en,196,196
Richard M. Nixon fue elegido(a) en,8,8
John F. Kennedy fue elegido(a) en, , 
John F. Kennedy fue elegido(a) en,196,196
John F. Kennedy fue elegido(a) en,0,0
Richard Nixon fue elegido(a) en, , 
Richard Nixon fue elegido(a) en,196,196
Richard Nixon fue elegido(a) en,8,8
Bill Clinton fue elegido(a) en, , 
Bill Clinton fue elegido(a) en,199,199
Bill Clinton fue elegido(a) en,2,2
George W. Bush fue elegido(a) en, , 
George W. Bush fue elegido(a) en,200,200
George W. Bush fue elegido(a) en,0,0
Barack Obama fue elegido(a) en, , 
Barack Obama fue elegido(a) en,200,200
Barack Obama fue elegido(a) en,8,8
Jimmy Carter fue elegido(a) en, , 
Jimmy Carter fue elegido(a) en,197,197
Jimmy Carter fue elegido(a) en,6,6
Ronald Reagan fue elegido(a) en, , 
Ronald Reagan fue elegido(a) en,198,198
Ronald Reagan fue elegido(a) en,0,0
George H. W. Bush fue elegido(a) en, , 
George H. W. Bush fue elegido(a) en,198,198
George H. W. Bush fue elegido(a) en,8,8
Joe Biden fue elegido(a) en, , 
Joe Biden fue elegido(a) en,202,202
Joe Biden fue elegido(a) en,0,0
Franklin D. Roosevelt fue elegido(a) en, , 
Franklin D. Roosevelt fue elegido(a) en,193,193
Franklin D. Roosevelt fue elegido(a) en,2,2
