prompt,answer_token,predicted_top1_token
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Superman è", Lex, Brain
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Superman è", L,iac
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Superman è",uthor,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batman è", The, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batman è", Joker, Joker
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wonder Woman è", C, A
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wonder Woman è",heet,res
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wonder Woman è",ah,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Spider-Man è", Green, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Spider-Man è", Goblin, L
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Flash è", Reverse, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Flash è",-, Trick
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Flash è",Flash,ster
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Green Lantern è", Sin, Par
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Green Lantern è",estro,allax
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain America è", Red, Red
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain America è", Skull, Skull
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Iron Man è", The, Ob
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Iron Man è", Mandarin,ad
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Thor è", Loki, Loki
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Black Panther è", Kill, K
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Black Panther è",mong,law
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Black Panther è",er,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Doctor Strange è", Baron, Dorm
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Doctor Strange è", M,ammu
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Doctor Strange è",ordo,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Aquaman è", Black, Black
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Aquaman è", M, M
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Aquaman è",anta,anta
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Hawkeye è", Cross, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Hawkeye è",fire, Hood
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Daredevil è", King, Bull
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Daredevil è",pin,sey
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Hulk è", The, Ab
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Hulk è", Ab,omination
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Hulk è",omination,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Cyclops è", Mister, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Cyclops è", Sin, White
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Cyclops è",ister, Queen
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wolverine è", Sab, Sab
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wolverine è",re,re
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wolverine è",to,to
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Wolverine è",oth,oth
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ant-Man è", Yellow, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ant-Man è",j, W
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ant-Man è",acket,asp
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Wasp è", Wh, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Wasp è",irl, White
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe The Wasp è",wind, Event
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain Marvel è", Y, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain Marvel è",on, Sh
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain Marvel è",-R,aper
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Captain Marvel è",ogg, of
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Deadpool è", T, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Deadpool è",-Ray, J
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Nightwing è", Death, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Nightwing è",stroke, Joker
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batgirl è", James, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batgirl è", Gordon, Joker
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batgirl è", Jr,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Batgirl è",.,L
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Raven è", Tr, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Raven è",igon, En
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Starfire è", Black, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Starfire è",fire, Star
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Beast Boy è", The, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Beast Boy è", Brain, Brotherhood
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Supergirl è", Reign, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Black Widow è", Task, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Black Widow è",master, Hand
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Silver Surfer è", Gal, Gal
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Silver Surfer è",actus,actus
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Punisher è", J, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Punisher è",igsaw, King
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Luke Cage è", Diamond, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Luke Cage è",back, Hand
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ghost Rider è", M, M
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ghost Rider è",ep,ep
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ghost Rider è",hist,hist
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Ghost Rider è",o,o
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Jessica Jones è", Kil, Kil
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Jessica Jones è",grave,grave
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Green Arrow è", Malcolm, The
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Green Arrow è", Mer, Hood
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Green Arrow è",lyn,".
"
"L'acerrimo nemico del supereroe Nova è Annihilus.
L'acerrimo nemico del supereroe Sentry è The Void.
L'acerrimo nemico del supereroe Hawkman è", Shadow, Than
