prompt,answer_token,predicted_top1_token
Bulbasaur evolui para um/uma, Iv, Iv
Bulbasaur evolui para um/uma,ys,ys
Bulbasaur evolui para um/uma,aur,aur
Charmander evolui para um/uma, Charm, Charm
Charmander evolui para um/uma,ele,ele
Charmander evolui para um/uma,on,on
Squirtle evolui para um/uma, W, Squ
Squirtle evolui para um/uma,art,irt
Squirtle evolui para um/uma,ort,le
Squirtle evolui para um/uma,le, mais
Pikachu evolui para um/uma, Ra, Ra
Pikachu evolui para um/uma,ich,ich
Pikachu evolui para um/uma,u,u
Oddish evolui para um/uma, G, Pokémon
Oddish evolui para um/uma,loom, de
Venonat evolui para um/uma, Venom, Ven
Venonat evolui para um/uma,oth,on
Diglett evolui para um/uma, D, Dig
Diglett evolui para um/uma,ug,lett
Diglett evolui para um/uma,tr,","
Diglett evolui para um/uma,io, que
Meowth evolui para um/uma, Persian, Pokémon
Psyduck evolui para um/uma, Gold, Al
Psyduck evolui para um/uma,uck,ak
Mankey evolui para um/uma, Prime, homem
Mankey evolui para um/uma,ape,(a
Growlithe evolui para um/uma, Arc, E
Growlithe evolui para um/uma,anine,eve
Poliwag evolui para um/uma, Pol, pol
Poliwag evolui para um/uma,i,i
Poliwag evolui para um/uma,wh,ú
Poliwag evolui para um/uma,irl,tero
Abra evolui para um/uma, Kad, ab
Abra evolui para um/uma,abra,str
Machop evolui para um/uma, Mach, Mach
Machop evolui para um/uma,oke,oke
Caterpie evolui para um/uma, Met, Met
Caterpie evolui para um/uma,ap,ap
Caterpie evolui para um/uma,od,od
Weedle evolui para um/uma, Kak, jov
Weedle evolui para um/uma,una,em
Pidgey evolui para um/uma, P, P
Pidgey evolui para um/uma,idge,idge
Pidgey evolui para um/uma,otto,otto
Rattata evolui para um/uma, R, R
Rattata evolui para um/uma,atic,att
Rattata evolui para um/uma,ate,ata
Spearow evolui para um/uma, Fear, P
Spearow evolui para um/uma,ow,idge
Ekans evolui para um/uma, Arb, esp
Ekans evolui para um/uma,ok,éc
Sandshrew evolui para um/uma, Sands, N
Sandshrew evolui para um/uma,lash,idor
Nidoran♀ evolui para um/uma, N, N
Nidoran♀ evolui para um/uma,idor,idor
Nidoran♀ evolui para um/uma,ina,ina
Nidoran♂ evolui para um/uma, N, N
Nidoran♂ evolui para um/uma,idor,idor
Nidoran♂ evolui para um/uma,ino,ino
Zubat evolui para um/uma, Gol, estado
Zubat evolui para um/uma,bat, de
Bellsprout evolui para um/uma, We, Her
Bellsprout evolui para um/uma,ep,ac
Bellsprout evolui para um/uma,in,ross
Bellsprout evolui para um/uma,bell,".
"
Tentacool evolui para um/uma, Tent, Tent
Tentacool evolui para um/uma,ac,ac
Tentacool evolui para um/uma,ru,ru
Tentacool evolui para um/uma,el,el
Geodude evolui para um/uma, Gr, Ge
Geodude evolui para um/uma,avel,od
Geodude evolui para um/uma,er,ude
Ponyta evolui para um/uma, Rapid, Pony
Ponyta evolui para um/uma,ash,ta
Slowpoke evolui para um/uma, Slow, Slow
Slowpoke evolui para um/uma,bro,bro
Magnemite evolui para um/uma, Magn, Magn
Magnemite evolui para um/uma,eton,em
Doduo evolui para um/uma, Dod, N
Doduo evolui para um/uma,rio,idor
Seel evolui para um/uma, Dew, ser
Seel evolui para um/uma,g, humano
Seel evolui para um/uma,ong,(a
Grimer evolui para um/uma, Muk, homem
Shellder evolui para um/uma, Clo,"
"
Shellder evolui para um/uma,yster, 
Gastly evolui para um/uma, Ha, Gast
Gastly evolui para um/uma,unter,ly
Drowzee evolui para um/uma, Hyp, D
Drowzee evolui para um/uma,no,row
Krabby evolui para um/uma, King, Kr
Krabby evolui para um/uma,ler,abby
Voltorb evolui para um/uma, Electro, V
Voltorb evolui para um/uma,de,ulp
Exeggcute evolui para um/uma, Ex, Pokémon
Exeggcute evolui para um/uma,egg, de
Exeggcute evolui para um/uma,utor, tipo
Cubone evolui para um/uma, Mar, cub
Cubone evolui para um/uma,ow,o
Cubone evolui para um/uma,ak,ide
Koffing evolui para um/uma, We, Pokémon
Koffing evolui para um/uma,ez, de
Koffing evolui para um/uma,ing, n
Rhyhorn evolui para um/uma, R, R
Rhyhorn evolui para um/uma,hy,hy
Rhyhorn evolui para um/uma,don,horn
Horsea evolui para um/uma, Se,"
"
Horsea evolui para um/uma,ad,H
Horsea evolui para um/uma,ra,orse
Goldeen evolui para um/uma, Se, G
Goldeen evolui para um/uma,aking,yar
