prompt,answer_token,predicted_top1_token
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหรัฐอเมริกา คือ", ด, ด
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหรัฐอเมริกา คือ",อลลาร,อลลาร
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหรัฐอเมริกา คือ",์ส,์ส
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหรัฐอเมริกา คือ",หร,หร
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหรัฐอเมริกา คือ",ัฐ,ัฐ
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ", ป, ป
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ",อนด,อนด
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ",์ส,์
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ",เตอร,".
"
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ",์ล,สก
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ สหราชอาณาจักร คือ",ิง,ุล
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศแคนาดา คือ", ด, ด
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศแคนาดา คือ",อลลาร,อลลาร
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศแคนาดา คือ",์,์
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศออสเตรเลีย คือ", ด, ด
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศออสเตรเลีย คือ",อลลาร,อลลาร
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศออสเตรเลีย คือ",์,์
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศอินเดีย คือ", ร, ร
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศอินเดีย คือ",ูป,ู
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศอินเดีย คือ",ีอ,เป
"สกุลเงินประจำชาติของ ประเทศอียิปต์ คือ ปอนด์.
สกุลเงินประจำชาติของ ประเทศเวียดนาม คือ ดอง.
สกุลเงินประจำชาติของ ประเทศอินเดีย คือ",ินเด,ีย
