prompt,answer_token,predicted_top1_token
Krivói Rog se encuentra en el continente, Europa, europe
Bahía Prydz se encuentra en el continente, Ant, ant
Bahía Prydz se encuentra en el continente,á,á
Bahía Prydz se encuentra en el continente,rt,rt
Bahía Prydz se encuentra en el continente,ida,ico
Tierra de Jorge V se encuentra en el continente, Ant, europe
Tierra de Jorge V se encuentra en el continente,á,o
Tierra de Jorge V se encuentra en el continente,rt,","
Tierra de Jorge V se encuentra en el continente,ida, en
Markham se encuentra en el continente, Ant, de
Markham se encuentra en el continente,á, N
Markham se encuentra en el continente,rt,ort
Markham se encuentra en el continente,ida,eam
Kalahari se encuentra en el continente, Á, afr
Kalahari se encuentra en el continente,frica,ic
Nizamabad se encuentra en el continente, Asia, asi
Glaciar Argosy se encuentra en el continente, Ant, de
Glaciar Argosy se encuentra en el continente,á, Ant
Glaciar Argosy se encuentra en el continente,rt,á
Glaciar Argosy se encuentra en el continente,ida,rt
califato Omeya se encuentra en el continente, Europa, afr
Isla Huidobro se encuentra en el continente, Ant, americ
Isla Huidobro se encuentra en el continente,á,ano
Isla Huidobro se encuentra en el continente,rt,","
Isla Huidobro se encuentra en el continente,ida, en
Dniéster se encuentra en el continente, Europa, europe
Isla Ongul Oriental se encuentra en el continente, Ant, de
Isla Ongul Oriental se encuentra en el continente,á, Asia
Isla Ongul Oriental se encuentra en el continente,rt,.
Isla Ongul Oriental se encuentra en el continente,ida, La
Cabo Legoupil se encuentra en el continente, Ant, afr
Cabo Legoupil se encuentra en el continente,á,ic
Cabo Legoupil se encuentra en el continente,rt,ano
Cabo Legoupil se encuentra en el continente,ida,","
Brabante Septentrional se encuentra en el continente, Europa, europe
Monte Karisimbi se encuentra en el continente, Á, afr
Monte Karisimbi se encuentra en el continente,frica,ic
Cordillera de Harold Byrd se encuentra en el continente, Ant, americ
Cordillera de Harold Byrd se encuentra en el continente,á,ano
Cordillera de Harold Byrd se encuentra en el continente,rt,.
Cordillera de Harold Byrd se encuentra en el continente,ida, Se
Afganistán se encuentra en el continente, Asia, asi
Níger se encuentra en el continente, Á, afr
Níger se encuentra en el continente,frica,ic
Isla Torre se encuentra en el continente, Ant, europe
Isla Torre se encuentra en el continente,á,o
Isla Torre se encuentra en el continente,rt,","
Isla Torre se encuentra en el continente,ida, en
Cordillera Forrestal se encuentra en el continente, Ant, americ
Cordillera Forrestal se encuentra en el continente,á,ano
Cordillera Forrestal se encuentra en el continente,rt,.
Cordillera Forrestal se encuentra en el continente,ida, En
Guadalquivir se encuentra en el continente, Europa, europe
Vístula se encuentra en el continente, Europa, americ
Himachal Pradesh se encuentra en el continente, Asia, asi
Río Chambal se encuentra en el continente, Asia, americ
Namibia se encuentra en el continente, Á, afr
Namibia se encuentra en el continente,frica,ic
Barrera de hielo Shackleton se encuentra en el continente, Ant, ant
Barrera de hielo Shackleton se encuentra en el continente,á,á
Barrera de hielo Shackleton se encuentra en el continente,rt,rt
Barrera de hielo Shackleton se encuentra en el continente,ida,ico
Japón se encuentra en el continente, Asia, asi
Nunataks Foca se encuentra en el continente, Ant, de
Nunataks Foca se encuentra en el continente,á, Gro
Nunataks Foca se encuentra en el continente,rt,en
Nunataks Foca se encuentra en el continente,ida,land
Lago Vida se encuentra en el continente, Ant, afr
Lago Vida se encuentra en el continente,á,ic
Lago Vida se encuentra en el continente,rt,ano
Lago Vida se encuentra en el continente,ida,","
Monte San Giorgio se encuentra en el continente, Europa, europe
Punta Cuatro Romano se encuentra en el continente, Ant, americ
Punta Cuatro Romano se encuentra en el continente,á,ano
Punta Cuatro Romano se encuentra en el continente,rt,","
Punta Cuatro Romano se encuentra en el continente,ida, en
Escalda se encuentra en el continente, Europa, americ
Alsace-Lorraine se encuentra en el continente, Europa, europe
Cordillera Heritage se encuentra en el continente, Ant, americ
Cordillera Heritage se encuentra en el continente,á,ano
Cordillera Heritage se encuentra en el continente,rt,.
Cordillera Heritage se encuentra en el continente,ida, Se
Nile se encuentra en el continente, Á, afr
Nile se encuentra en el continente,frica,ic
Monte Foster se encuentra en el continente, Ant, americ
Monte Foster se encuentra en el continente,á,ano
Monte Foster se encuentra en el continente,rt,","
Monte Foster se encuentra en el continente,ida, en
Montañas Swanson se encuentra en el continente, Ant, de
Montañas Swanson se encuentra en el continente,á, N
Montañas Swanson se encuentra en el continente,rt,ueva
Montañas Swanson se encuentra en el continente,ida, Z
Bloque del Este se encuentra en el continente, Europa, afr
Pune se encuentra en el continente, Asia, asi
Monte Stephenson se encuentra en el continente, Ant, afr
Monte Stephenson se encuentra en el continente,á,ic
Monte Stephenson se encuentra en el continente,rt,ano
Monte Stephenson se encuentra en el continente,ida,","
Distrito de Shahdol se encuentra en el continente, Asia, asi
Costa Bowman se encuentra en el continente, Ant, americ
Costa Bowman se encuentra en el continente,á,ano
Costa Bowman se encuentra en el continente,rt,","
Costa Bowman se encuentra en el continente,ida, en
Chamrajnagar se encuentra en el continente, Asia, asi
Cabo Adriasola se encuentra en el continente, Ant, afr
Cabo Adriasola se encuentra en el continente,á,ic
Cabo Adriasola se encuentra en el continente,rt,ano
Cabo Adriasola se encuentra en el continente,ida,","
Tierra de la Reina Maud se encuentra en el continente, Ant, ant
Tierra de la Reina Maud se encuentra en el continente,á,á
Tierra de la Reina Maud se encuentra en el continente,rt,rt
Tierra de la Reina Maud se encuentra en el continente,ida,ico
Montañas Hudson se encuentra en el continente, Ant, americ
Montañas Hudson se encuentra en el continente,á,ano
