prompt,answer_token,predicted_top1_token
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
CURVA termina com a letra", A, A
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
PESADO termina com a letra", O, O
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
BONITO termina com a letra", O, O
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
PERGUNTAR termina com a letra", R, A
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
EXPANDIR termina com a letra", R, R
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
FRENTE termina com a letra", E, E
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
DIFÍCIL termina com a letra", L, L
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
GENTIL termina com a letra", L, I
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
IR termina com a letra", R, I
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
CIRURGIA termina com a letra", A, A
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
PASSADO termina com a letra", O, O
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
DENTRO termina com a letra", O, O
"FOGO termina com a letra O.
COLINA termina com a letra A.
GELEIA termina com a letra A.
FACA termina com a letra A.
CORDEIRO termina com a letra O.
ESPELHO termina com a letra O.
NOITE termina com a letra E.
ENTRAR termina com a letra", R, A
