prompt,answer_token,predicted_top1_token
"शुरू का भूतकाल रूप है शुरू किया.
पूछन का भूतकाल रूप है", प, श
"शुरू का भूतकाल रूप है शुरू किया.
पूछन का भूतकाल रूप है",ूछ,ुर
"शुरू का भूतकाल रूप है शुरू किया.
पूछन का भूतकाल रूप है",ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
मानना का भूतकाल रूप है", म, श
"शुरू का भूतकाल रूप है शुरू किया.
मानना का भूतकाल रूप है",ान,ुर
"शुरू का भूतकाल रूप है शुरू किया.
मानना का भूतकाल रूप है",ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
तोड़ना का भूतकाल रूप है", त, त
"शुरू का भूतकाल रूप है शुरू किया.
तोड़ना का भूतकाल रूप है",ोड,ोड
"शुरू का भूतकाल रूप है शुरू किया.
तोड़ना का भूतकाल रूप है",़ा,़न
"शुरू का भूतकाल रूप है शुरू किया.
लाना का भूतकाल रूप है", ल, श
"शुरू का भूतकाल रूप है शुरू किया.
लाना का भूतकाल रूप है",ाय,ुर
"शुरू का भूतकाल रूप है शुरू किया.
लाना का भूतकाल रूप है",ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
बनाना का भूतकाल रूप है", बन, श
"शुरू का भूतकाल रूप है शुरू किया.
बनाना का भूतकाल रूप है",ाय,ुर
"शुरू का भूतकाल रूप है शुरू किया.
बनाना का भूतकाल रूप है",ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
बुलाना का भूतकाल रूप है", ब, ब
"शुरू का भूतकाल रूप है शुरू किया.
बुलाना का भूतकाल रूप है",ुल,ुल
"शुरू का भूतकाल रूप है शुरू किया.
बुलाना का भूतकाल रूप है",ाय,ान
"शुरू का भूतकाल रूप है शुरू किया.
बुलाना का भूतकाल रूप है",ा,ा
"शुरू का भूतकाल रूप है शुरू किया.
पकड़ना का भूतकाल रूप है", पक, श
"शुरू का भूतकाल रूप है शुरू किया.
पकड़ना का भूतकाल रूप है",ड,ुर
"शुरू का भूतकाल रूप है शुरू किया.
पकड़ना का भूतकाल रूप है",़ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
बदलना का भूतकाल रूप है", बदल, श
"शुरू का भूतकाल रूप है शुरू किया.
बदलना का भूतकाल रूप है",ा,ुर
"शुरू का भूतकाल रूप है शुरू किया.
चुनना का भूतकाल रूप है", च, श
"शुरू का भूतकाल रूप है शुरू किया.
चुनना का भूतकाल रूप है",ुन,ुर
"शुरू का भूतकाल रूप है शुरू किया.
चुनना का भूतकाल रूप है",ा,ू
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है", स, स
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है",ाफ,ाफ
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है",़,़
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है", क, क
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है",िय,िय
"शुरू का भूतकाल रूप है शुरू किया.
साफ़ करना का भूतकाल रूप है",ा,"ा.
"
"शुरू का भूतकाल रूप है शुरू किया.
चढ़ना का भूतकाल रूप है", च, च
"शुरू का भूतकाल रूप है शुरू किया.
चढ़ना का भूतकाल रूप है",ढ,ढ
"शुरू का भूतकाल रूप है शुरू किया.
चढ़ना का भूतकाल रूप है",़ा,़ा
"शुरू का भूतकाल रूप है शुरू किया.
बंद कर का भूतकाल रूप है", ब, ब
"शुरू का भूतकाल रूप है शुरू किया.
बंद कर का भूतकाल रूप है",ंद,ंद
"शुरू का भूतकाल रूप है शुरू किया.
बंद कर का भूतकाल रूप है", क, कर
"शुरू का भूतकाल रूप है शुरू किया.
बंद कर का भूतकाल रूप है",िय, क
"शुरू का भूतकाल रूप है शुरू किया.
बंद कर का भूतकाल रूप है",ा,ा
"शुरू का भूतकाल रूप है शुरू किया.
आन का भूतकाल रूप है", आय, श
"शुरू का भूतकाल रूप है शुरू किया.
रोना का भूतकाल रूप है", र, श
