prompt,answer_token,predicted_top1_token
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ", น, ไม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ",่าร,่น
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ",ัง,่าร
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ",เก,ัก
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ",ีย,".
"
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ น่ารัก คือ",จ,ส
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ สร้างสรรค คือ", ทำ, ไม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ สร้างสรรค คือ",ลาย,่
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ มีความสุข คือ", เ�, ไม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ มีความสุข คือ",�,่ม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ มีความสุข คือ",ร,ีความ
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ มีความสุข คือ",้า,ส
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ เต็ม คือ", ว, ไม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ เต็ม คือ",่าง,่
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ กล้า คือ", ข, ไม
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ กล้า คือ",ี้,่
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ กล้า คือ",ข,กล
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ กล้า คือ",ลาด,้า
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ เปิด คือ", ป, ป
"สิ่งที่ตรงข้ามกับ เป็นระเบียบ คือ ไม่เป็นระเบียบ.
สิ่งที่ตรงข้ามกับ เปิด คือ",ิด,ิด
