prompt,answer_token,predicted_top1_token
"The opposite of neat is careless.
The opposite of love is", hate, hate
"The opposite of neat is careless.
The opposite of create is", destroy, destroy
"The opposite of neat is careless.
The opposite of happy is", sad, sad
"The opposite of neat is careless.
The opposite of full is", empty, empty
"The opposite of neat is careless.
The opposite of brave is", coward, coward
"The opposite of neat is careless.
The opposite of brave is",ly,ly
"The opposite of neat is careless.
The opposite of open is", closed, closed
"The opposite of neat is careless.
The opposite of safe is", dangerous, dangerous
"The opposite of neat is careless.
The opposite of beautiful is", ugly, ugly
"The opposite of neat is careless.
The opposite of friend is", enemy, foe
"The opposite of neat is careless.
The opposite of day is", night, night
"The opposite of neat is careless.
The opposite of buy is", sell, sell
"The opposite of neat is careless.
The opposite of big is", small, small
"The opposite of neat is careless.
The opposite of old is", young, young
"The opposite of neat is careless.
The opposite of quiet is", loud, noisy
"The opposite of neat is careless.
The opposite of true is", false, false
"The opposite of neat is careless.
The opposite of fast is", slow, slow
"The opposite of neat is careless.
The opposite of hot is", cold, cold
"The opposite of neat is careless.
The opposite of good is", bad, bad
"The opposite of neat is careless.
The opposite of start is", stop, stop
"The opposite of neat is careless.
The opposite of inside is", outside, outside
"The opposite of neat is careless.
The opposite of win is", lose, lose
"The opposite of neat is careless.
The opposite of give is", take, take
"The opposite of neat is careless.
The opposite of light is", dark, dark
"The opposite of neat is careless.
The opposite of healthy is", sick, unhealthy
"The opposite of neat is careless.
The opposite of clean is", dirty, dirty
"The opposite of neat is careless.
The opposite of right is", wrong, wrong
"The opposite of neat is careless.
The opposite of up is", down, down
"The opposite of neat is careless.
The opposite of strong is", weak, weak
"The opposite of neat is careless.
The opposite of happy is", angry, sad
"The opposite of neat is careless.
The opposite of tall is", short, short
"The opposite of neat is careless.
The opposite of wise is", foolish, foolish
"The opposite of neat is careless.
The opposite of connect is", disconnect, disconnect
"The opposite of neat is careless.
The opposite of soft is", hard, hard
"The opposite of neat is careless.
The opposite of yes is", no, no
"The opposite of neat is careless.
The opposite of smooth is", rough, rough
"The opposite of neat is careless.
The opposite of front is", back, back
"The opposite of neat is careless.
The opposite of forgive is", blame, to
"The opposite of neat is careless.
The opposite of simple is", complex, complex
"The opposite of neat is careless.
The opposite of open is", shut, closed
"The opposite of neat is careless.
The opposite of shallow is", deep, deep
"The opposite of neat is careless.
The opposite of smile is", f, f
"The opposite of neat is careless.
The opposite of smile is",rown,rown
"The opposite of neat is careless.
The opposite of laugh is", cry, cry
"The opposite of neat is careless.
The opposite of fast is", stop, slow
"The opposite of neat is careless.
The opposite of up is", below, down
"The opposite of neat is careless.
The opposite of positive is", negative, negative
"The opposite of neat is careless.
The opposite of honest is", dishonest, dishonest
"The opposite of neat is careless.
The opposite of push is", pull, pull
"The opposite of neat is careless.
The opposite of wet is", dry, dry
"The opposite of neat is careless.
The opposite of up is", out, down
"The opposite of neat is careless.
The opposite of narrow is", wide, wide
"The opposite of neat is careless.
The opposite of up is", off, down
"The opposite of neat is careless.
The opposite of straight is", curved, cro
"The opposite of neat is careless.
The opposite of accept is", reject, reject
"The opposite of neat is careless.
The opposite of build is", demol, destroy
"The opposite of neat is careless.
The opposite of build is",ish,".
"
"The opposite of neat is careless.
The opposite of gentle is", rough, rough
"The opposite of neat is careless.
The opposite of include is", exclude, exclude
"The opposite of neat is careless.
The opposite of past is", future, present
"The opposite of neat is careless.
The opposite of arrive is", depart, depart
"The opposite of neat is careless.
The opposite of inhale is", exh, exh
"The opposite of neat is careless.
The opposite of inhale is",ale,ale
