prompt,answer_token,predicted_top1_token
"Paris está localizado no país França.
Nova Iorque está localizado no país", Estados, Estados
"Paris está localizado no país França.
Nova Iorque está localizado no país", Unidos, Unidos
"Paris está localizado no país França.
Rio de Janeiro está localizado no país", Brasil, Brasil
"Paris está localizado no país França.
Buenos Aires está localizado no país", Argentina, Argentina
"Paris está localizado no país França.
Cidade do México está localizado no país", México, México
"Paris está localizado no país França.
São Paulo está localizado no país", Brasil, Brasil
"Paris está localizado no país França.
Los Angeles está localizado no país", Estados, Estados
"Paris está localizado no país França.
Los Angeles está localizado no país", Unidos, Unidos
"Paris está localizado no país França.
São Petersburgo está localizado no país", R, R
"Paris está localizado no país França.
São Petersburgo está localizado no país",ú,ú
"Paris está localizado no país França.
São Petersburgo está localizado no país",ss,ss
"Paris está localizado no país França.
São Petersburgo está localizado no país",ia,ia
"Paris está localizado no país França.
São Francisco está localizado no país", Estados, Brasil
"Paris está localizado no país França.
São Francisco está localizado no país", Unidos,".
"
"Paris está localizado no país França.
Cidade de Ho Chi Minh está localizado no país", Viet, Viet
"Paris está localizado no país França.
Cidade de Ho Chi Minh está localizado no país",name,n
"Paris está localizado no país França.
Kuala Lumpur está localizado no país", Mal, Mal
"Paris está localizado no país França.
Kuala Lumpur está localizado no país",ás,ás
"Paris está localizado no país França.
Kuala Lumpur está localizado no país",ia,ia
"Paris está localizado no país França.
Abu Dhabi está localizado no país", Em, Em
"Paris está localizado no país França.
Abu Dhabi está localizado no país",ir,ir
"Paris está localizado no país França.
Abu Dhabi está localizado no país",ados,ados
"Paris está localizado no país França.
Abu Dhabi está localizado no país", Á, Á
"Paris está localizado no país França.
Abu Dhabi está localizado no país",rab,rab
"Paris está localizado no país França.
Abu Dhabi está localizado no país",es,es
"Paris está localizado no país França.
Abu Dhabi está localizado no país", Unidos, Unidos
"Paris está localizado no país França.
Cidade do Cabo está localizado no país", Á, Á
"Paris está localizado no país França.
Cidade do Cabo está localizado no país",frica,frica
"Paris está localizado no país França.
Cidade do Cabo está localizado no país", do, do
"Paris está localizado no país França.
Cidade do Cabo está localizado no país", Sul, Sul
"Paris está localizado no país França.
Nova Deli está localizado no país", �, Brasil
"Paris está localizado no país França.
Nova Deli está localizado no país",�,".
"
"Paris está localizado no país França.
Nova Deli está localizado no país",nd,Nova
"Paris está localizado no país França.
Nova Deli está localizado no país",ia, Del
"Paris está localizado no país França.
Las Vegas está localizado no país", Estados, Estados
"Paris está localizado no país França.
Las Vegas está localizado no país", Unidos, Unidos
"Paris está localizado no país França.
Hong Kong está localizado no país", China, China
"Paris está localizado no país França.
Tel Aviv está localizado no país", Israel, Israel
"Paris está localizado no país França.
Joanesburgo está localizado no país", Á, Á
"Paris está localizado no país França.
Joanesburgo está localizado no país",frica,frica
"Paris está localizado no país França.
Joanesburgo está localizado no país", do, do
"Paris está localizado no país França.
Joanesburgo está localizado no país", Sul, Sul
"Paris está localizado no país França.
São Domingos está localizado no país", Rep, Portugal
"Paris está localizado no país França.
São Domingos está localizado no país",ública,".
"
"Paris está localizado no país França.
São Domingos está localizado no país", Dominic,S
"Paris está localizado no país França.
São Domingos está localizado no país",ana,ão
"Paris está localizado no país França.
Porto Príncipe está localizado no país", Haiti, Haiti
"Paris está localizado no país França.
Santiago de Chile está localizado no país", Chile, Chile
"Paris está localizado no país França.
Cidade do Panamá está localizado no país", Pan, Pan
"Paris está localizado no país França.
Cidade do Panamá está localizado no país",am,am
"Paris está localizado no país França.
Cidade do Panamá está localizado no país",á,á
"Paris está localizado no país França.
Siem Reap está localizado no país", Cam, Cam
"Paris está localizado no país França.
Siem Reap está localizado no país",bo,bo
"Paris está localizado no país França.
Siem Reap está localizado no país",ja,ja
"Paris está localizado no país França.
Casablanca está localizado no país", Mar, Mar
"Paris está localizado no país França.
Casablanca está localizado no país",ro,ro
"Paris está localizado no país França.
Casablanca está localizado no país",cos,cos
"Paris está localizado no país França.
San Juan está localizado no país", Porto, Argentina
"Paris está localizado no país França.
San Juan está localizado no país", Rico,".
"
"Paris está localizado no país França.
Costa Rica está localizado no país", San, Costa
"Paris está localizado no país França.
Costa Rica está localizado no país", José, Rica
"Paris está localizado no país França.
Adis Abeba está localizado no país", E, E
"Paris está localizado no país França.
Adis Abeba está localizado no país",ti,ti
"Paris está localizado no país França.
Adis Abeba está localizado no país",ó,ó
"Paris está localizado no país França.
Adis Abeba está localizado no país",p,p
"Paris está localizado no país França.
Adis Abeba está localizado no país",ia,ia
"Paris está localizado no país França.
Punta Cana está localizado no país", Rep, Rep
"Paris está localizado no país França.
Punta Cana está localizado no país",ública,ública
"Paris está localizado no país França.
Punta Cana está localizado no país", Dominic, Dominic
"Paris está localizado no país França.
Punta Cana está localizado no país",ana,ana
