prompt,answer_token,predicted_top1_token
La forma superlativa de enojado es, el, _
La forma superlativa de enojado es, más,en
La forma superlativa de enojado es, en,fad
La forma superlativa de enojado es,oj,ado
La forma superlativa de enojado es,ado,_
La forma superlativa de malo es, el, mal
La forma superlativa de malo es, pe,ís
La forma superlativa de malo es,or,imo
La forma superlativa de grande es, el, la
La forma superlativa de grande es, más, palabra
La forma superlativa de grande es, grande, gig
La forma superlativa de valiente es, el, val
La forma superlativa de valiente es, más,eros
La forma superlativa de valiente es, val,o
La forma superlativa de valiente es,iente,","
La forma superlativa de brillante es, el, brill
La forma superlativa de brillante es, más,ant
La forma superlativa de brillante es, brill,ís
La forma superlativa de brillante es,ante,imo
La forma superlativa de tranquilo es, el, tranqu
La forma superlativa de tranquilo es, más,ilo
La forma superlativa de tranquilo es, tranqu,ís
La forma superlativa de tranquilo es,ilo,imo
La forma superlativa de barato es, el, bar
La forma superlativa de barato es, más,at
La forma superlativa de barato es, bar,ís
La forma superlativa de barato es,ato,imo
La forma superlativa de limpio es, el, lim
La forma superlativa de limpio es, más,pio
La forma superlativa de limpio es, lim,ís
La forma superlativa de limpio es,pio,imo
La forma superlativa de frío es, el, el
La forma superlativa de frío es, más, fr
La forma superlativa de frío es, fr,ío
La forma superlativa de frío es,ío, extrem
La forma superlativa de loco es, el, loc
La forma superlativa de loco es, más,o
La forma superlativa de loco es, loc, suprem
La forma superlativa de loco es,o,us
La forma superlativa de cruel es, cruel, cruel
La forma superlativa de cruel es,ís,ís
La forma superlativa de cruel es,imo,imo
La forma superlativa de oscuro es, os, la
La forma superlativa de oscuro es,cur, palabra
La forma superlativa de oscuro es,ís, os
La forma superlativa de oscuro es,imo,cura
La forma superlativa de profundo es, profund, profund
La forma superlativa de profundo es,ís,ís
La forma superlativa de profundo es,imo,imo
La forma superlativa de sucio es, suc, suc
La forma superlativa de sucio es,ís,ia
La forma superlativa de sucio es,imo,","
La forma superlativa de seco es, sequ, sec
La forma superlativa de seco es,ís,und
La forma superlativa de seco es,imo,ario
La forma superlativa de aburrido es, ab, ab
La forma superlativa de aburrido es,ur,ur
La forma superlativa de aburrido es,rid,rid
La forma superlativa de aburrido es,ís,ís
La forma superlativa de aburrido es,imo,imo
La forma superlativa de fácil es, facil, la
La forma superlativa de fácil es,ís, forma
La forma superlativa de fácil es,imo, de
La forma superlativa de rápido es, rapid, la
La forma superlativa de rápido es,ís, palabra
La forma superlativa de rápido es,imo, ráp
La forma superlativa de feroz es, f, fer
La forma superlativa de feroz es,ero,oc
La forma superlativa de feroz es,z,idad
La forma superlativa de feroz es,ís,","
La forma superlativa de feroz es,imo, que
La forma superlativa de fresco es, fres, fres
La forma superlativa de fresco es,qu,co
La forma superlativa de fresco es,ís, de
