prompt,answer_token,predicted_top1_token
John Adams nació en, , 
John Adams nació en,173,173
John Adams nació en,5,5
Thomas Jefferson nació en, , 
Thomas Jefferson nació en,174,174
Thomas Jefferson nació en,3,3
James Madison nació en, , el
James Madison nació en,175, sen
James Madison nació en,1,yor
James Monroe nació en, , 
James Monroe nació en,175,175
James Monroe nació en,8,8
John Quincy Adams nació en, , Quincy
John Quincy Adams nació en,176,","
John Quincy Adams nació en,7, Massachusetts
Andrew Jackson nació en, , 
Andrew Jackson nació en,176,176
Andrew Jackson nació en,7,7
Martin Van Buren nació en, , 
Martin Van Buren nació en,178,179
Martin Van Buren nació en,2,7
William Henry Harrison nació en, , 
William Henry Harrison nació en,177,177
William Henry Harrison nació en,3,3
Richard Nixon nació en, , Y
Richard Nixon nació en,191,or
Richard Nixon nació en,3,ba
John F. Kennedy nació en, , 
John F. Kennedy nació en,191,191
John F. Kennedy nació en,7,7
Richard Nixon nació en, , Y
Richard Nixon nació en,191,or
Richard Nixon nació en,3,ba
Bill Clinton nació en, , Hope
Bill Clinton nació en,194,","
Bill Clinton nació en,6, Arkansas
George W. Bush nació en, , 
George W. Bush nació en,194,194
George W. Bush nació en,6,6
Barack Obama nació en, , Honolulu
Barack Obama nació en,196,","
Barack Obama nació en,1, Haw
Jimmy Carter nació en, , el
Jimmy Carter nació en,192, sen
Jimmy Carter nació en,4,o
Ronald Reagan nació en, , 
Ronald Reagan nació en,191,191
Ronald Reagan nació en,1,1
George H. W. Bush nació en, , 
George H. W. Bush nació en,192,192
George H. W. Bush nació en,4,4
Joe Biden nació en, , 
Joe Biden nació en,194,194
Joe Biden nació en,2,2
Franklin D. Roosevelt nació en, , Hyde
Franklin D. Roosevelt nació en,188, Park
Franklin D. Roosevelt nació en,2,","
