prompt,answer_token,predicted_top1_token
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Roberto Clemente spielt die Sportart", Baseball, Baseball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Hank Aaron spielt die Sportart", Baseball, Baseball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Jari Kurri spielt die Sportart", H, E
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Jari Kurri spielt die Sportart",ock,ish
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Jari Kurri spielt die Sportart",e,ockey
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Jari Kurri spielt die Sportart",ys,".
"
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Jari Kurri spielt die Sportart",port,M
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Zdeno Chára spielt die Sportart", H, E
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Zdeno Chára spielt die Sportart",ock,ish
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Zdeno Chára spielt die Sportart",e,ockey
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Zdeno Chára spielt die Sportart",ys,".
"
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Zdeno Chára spielt die Sportart",port,M
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Peter Šťastný spielt die Sportart", H, E
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Peter Šťastný spielt die Sportart",ock,ish
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Peter Šťastný spielt die Sportart",e,ockey
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Peter Šťastný spielt die Sportart",ys,".
"
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Peter Šťastný spielt die Sportart",port,M
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
R.A. Dickey spielt die Sportart", Baseball, Baseball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Luis Scola spielt die Sportart", Basketball, Basketball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Satchel Paige spielt die Sportart", Baseball, Baseball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Elton Brand spielt die Sportart", Basketball, Basketball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Mariano Rivera spielt die Sportart", Baseball, Baseball
"Kylian Mbappé spielt die Sportart Fußball.
Shohei Otani spielt die Sportart Baseball.
Jayson Tatum spielt die Sportart Basketball.
Luciana Aymar spielt die Sportart Hockeysport.
Josh Allen spielt die Sportart Fußball.
Jamie Dwyer spielt die Sportart Hockeysport.
Aaron Judge spielt die Sportart Baseball.
Gary Carter spielt die Sportart", Baseball, Baseball
