prompt,answer_token,predicted_top1_token
O nome verdadeiro de Superman é, Clark, Kal
O nome verdadeiro de Superman é, Kent,-
O nome verdadeiro de Batman é, Bruce, Bruce
O nome verdadeiro de Batman é, Wayne, Wayne
O nome verdadeiro de Wonder Woman é, Diana, Diana
O nome verdadeiro de Wonder Woman é, Prince,","
O nome verdadeiro de Spider-Man é, Peter, Peter
O nome verdadeiro de Spider-Man é, Parker, Parker
O nome verdadeiro de Iron Man é, Tony, Tony
O nome verdadeiro de Iron Man é, Stark, Stark
O nome verdadeiro de Captain America é, Steve, Steve
O nome verdadeiro de Captain America é, Rogers, Rogers
O nome verdadeiro de The Flash é, Barry, Barry
O nome verdadeiro de The Flash é, Allen, Allen
O nome verdadeiro de Green Lantern é, Hal, Hal
O nome verdadeiro de Green Lantern é, Jordan, Jordan
O nome verdadeiro de Green Arrow é, Oliver, Oliver
O nome verdadeiro de Green Arrow é, Queen, Queen
O nome verdadeiro de Aquaman é, Arthur, Arthur
O nome verdadeiro de Aquaman é, Curry, Curry
O nome verdadeiro de Daredevil é, Matt, Matt
O nome verdadeiro de Daredevil é, Mur, Mur
O nome verdadeiro de Daredevil é,dock,dock
O nome verdadeiro de Cyclops é, Scott, Pol
O nome verdadeiro de Cyclops é, Summers,if
O nome verdadeiro de Storm é, Or, Storm
O nome verdadeiro de Storm é,oro, Dun
O nome verdadeiro de Storm é, Mun,am
O nome verdadeiro de Storm é,roe,is
O nome verdadeiro de Mr. Fantastic é, Reed, Reed
O nome verdadeiro de Mr. Fantastic é, Richards, Richards
O nome verdadeiro de Invisible Woman é, Sue, Susan
O nome verdadeiro de Invisible Woman é, Storm, Storm
O nome verdadeiro de Human Torch é, Johnny, o
O nome verdadeiro de Human Torch é, Storm, de
O nome verdadeiro de The Thing é, Ben, O
O nome verdadeiro de The Thing é, Grimm,ss
O nome verdadeiro de Kid Flash é, W, W
O nome verdadeiro de Kid Flash é,ally,ally
O nome verdadeiro de Kid Flash é, West, West
O nome verdadeiro de Nightwing é, Dick, Dick
O nome verdadeiro de Nightwing é, Gray, Gray
O nome verdadeiro de Nightwing é,son,son
O nome verdadeiro de Shazam é, Billy, Billy
O nome verdadeiro de Shazam é, Bat, Bat
O nome verdadeiro de Shazam é,son,son
O nome verdadeiro de Green Lantern é, Kyle, Hal
O nome verdadeiro de Green Lantern é, Ray, Jordan
O nome verdadeiro de Green Lantern é,ner,","
O nome verdadeiro de Red Robin é, Tim, Jason
O nome verdadeiro de Red Robin é, Drake, Todd
O nome verdadeiro de Red Hood é, Jason, Jason
O nome verdadeiro de Red Hood é, Todd, Todd
O nome verdadeiro de Catwoman é, Sel, Sel
O nome verdadeiro de Catwoman é,ina,ina
O nome verdadeiro de Catwoman é, Kyle, Kyle
O nome verdadeiro de Phoenix é, Jean, Phoenix
O nome verdadeiro de Phoenix é, Grey, Wright
O nome verdadeiro de Wolverine é, Logan, Logan
O nome verdadeiro de Wolverine é, How,.
O nome verdadeiro de Wolverine é,lett, Ele
O nome verdadeiro de Supergirl é, Kara, Kara
O nome verdadeiro de Supergirl é, Z, Z
O nome verdadeiro de Supergirl é,or,or
O nome verdadeiro de Supergirl é,-,-
O nome verdadeiro de Supergirl é,El,El
O nome verdadeiro de Black Widow é, Natasha, Natasha
O nome verdadeiro de Black Widow é, Roman, Roman
O nome verdadeiro de Black Widow é,off,off
O nome verdadeiro de Hawkeye é, Clint, Clint
O nome verdadeiro de Hawkeye é, Barton, Barton
