prompt,answer_token,predicted_top1_token
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Beyoncé Knowles heißt", Math, Matthew
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Beyoncé Knowles heißt",ew, Know
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Beyoncé Knowles heißt", Know,les
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Beyoncé Knowles heißt",les,".
"
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von David Beckham heißt", David, David
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von David Beckham heißt", Edward, Edward
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von David Beckham heißt", Alan, Beckham
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von David Beckham heißt", Beckham,".
"
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Reese Witherspoon heißt", John, John
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Reese Witherspoon heißt", With, Dr
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Reese Witherspoon heißt",ers,aper
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Reese Witherspoon heißt",poon, With
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Paris Jackson heißt", Michael, Michael
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Paris Jackson heißt", Jackson, Jackson
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Scott Eastwood heißt", Clint, Clint
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Scott Eastwood heißt", East, East
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Scott Eastwood heißt",wood,wood
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Rumer Willis heißt", Bruce, Bruce
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Rumer Willis heißt", Willis, Willis
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Zoe Kravitz heißt", L, L
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Zoe Kravitz heißt",enny,enny
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Zoe Kravitz heißt", Kr, Kr
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Zoe Kravitz heißt",av,av
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Zoe Kravitz heißt",itz,itz
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Dylan Brosnan heißt", Pierce, Michael
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Dylan Brosnan heißt", Bros, Bros
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Dylan Brosnan heißt",nan,nan
"Der Vater von Hailey Bieber heißt Stephen Baldwin.
Der Vater von Don Johnson heißt Fredie Wayne Johnson.
Der Vater von Bronny James heißt LeBron James.
Der Vater von Abby Elliott heißt", Chris, Christopher
