prompt,answer_token,predicted_top1_token
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Sirius está en la constelación de", Can, Can
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Sirius está en la constelación de",is,is
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Sirius está en la constelación de", Major, Major
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Vega está en la constelación de", Ly, Ly
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Vega está en la constelación de",ra,ra
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Arcturus está en la constelación de", Bo, Bo
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Arcturus está en la constelación de",ö,ö
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Arcturus está en la constelación de",tes,tes
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Capella está en la constelación de", Aur, Aur
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Capella está en la constelación de",iga,iga
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Procyon está en la constelación de", Can, Can
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Procyon está en la constelación de",is,is
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Procyon está en la constelación de", Minor, Minor
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Altair está en la constelación de", Aqu, Aqu
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Altair está en la constelación de",ila,ila
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Aldebaran está en la constelación de", T, T
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Aldebaran está en la constelación de",aurus,aurus
"Canopus está en la constelación de Carina.
Achernar está en la constelación de Eridanus.
Mimosa está en la constelación de Crux.
Alnitak está en la constelación de Orion.
Rasalhague está en la constelación de Ophiuchus.
Antares está en la constelación de", Scor, Scor
